species,spp_concat,code,abbrev,common_name,type,occupancy_decline,significant,minLat,maxLat,intercept,slope,mass_high_lat,mass_low_lat,mass_lat_change,resids,clutch_size,territoriality,elevational_preference,range_margin,habitat,diet,migratory,migratory2,mass,density_of_fibers,vertnet_mass,shortwave_absorptance_dorsal,shortwave_absorptance_ventral,longwave_absorptance,feather_length_dorsal,feather_length_ventral,insulation_depth_dorsal,insulation_depth_ventral,length,width,height,emissivity,physiology_known,version,water_threshold,physiology_known_master,body_temperature_min,body_temperature_max,lower_critical_temperature,upper_critical_temperature,water_heat_ratio_slope,water_heat_ratio_intercept,body_temperature_slope1,body_temperature_slope2,body_temperature_intercept,water_loss_slope,water_loss_intercept,citations,notes
Picoides scalaris,Picoidesscalaris,LBWO,Pscalar,Ladder-backed Woodpecker,bird,-0.136234552,TRUE,23.20635835,37.0106667,36.83893726,-0.171221861,35.83015456,32.8655014,-8.730512854,0.077866785,4,A,0,patchy,2,3,1,R,30.6,4991.3314,33.957377,0.695240587,0.552882935,0.96,0.024,0.016666667,0.006383333,0.004466667,0.083,0.036,0.032666667,0.97,0,no_physiology,-2.255405753,0,39,40,25,35,,,,,,,,,
Pipilo maculatus,Pipilomaculatus,SPTO,Pmacula,Spotted Towhee,bird,-0.135286255,TRUE,20.21,52.4,38.92484445,0.024201183,38.9321048,39.41395036,1.231705851,0.136923582,3.6,A,1,south,3,3,1,R,39.9,5509.9831,39.120181,0.817661134,0.551636335,0.96,0.023888889,0.023111111,0.005366667,0.0047,0.097333333,0.037333333,0.037,0.97,0,no_physiology,-4.116899774,0,39,40,25,35,,,,,,,,,
Poecile gambeli,Poecilegambeli,MOCH,Pgambel,Mountain Chickadee,bird,-0.072693569,TRUE,30.6342934,57.6,11.3659643,-0.010753309,11.38935275,11.03654428,-3.132642217,0.044271547,7,A,1,south,3,2,1,R,11.5,3926.1435,11.262329,0.825003847,0.762497667,0.96,0.017122222,0.014666667,0.0055,0.004,0.064333333,0.030666667,0.027666667,0.97,0,no_physiology,-2.3247973,0,39,40,25,35,,,,,,,,,
Polioptila caerulea,Polioptilacaerulea,BGGN,Pcaerul,Blue-gray Gnatcatcher,bird,0.014334174,FALSE,23.441944,40.61736,5.629601868,-0.001643416,5.62271321,5.591077002,-0.563925273,-0.028568407,4.2,A,1,none,1,2,2,T,6.1,3624.9909,5.61,0.837436657,0.642150184,0.96,0.01,0.008888889,0.005616667,0.005966667,0.051333333,0.025,0.023,0.97,0,no_physiology,-1.482832068,0,39,40,25,35,,,,,,,,,
Polioptila melanura,Polioptilamelanura,BTGN,Pmelanu,Black-tailed Gnatcatcher,bird,-0.075496847,FALSE,22.4655051,35.114622,4.885315703,0.015135845,5.026961935,5.225350106,3.793833602,0.080331829,4,A,0,north,2,2,1,R,5.2,3574.7988,5.229227,0.77780657,0.596078515,0.96,0.012444444,0.011444444,0.005283333,0.00465,0.044,0.022666667,0.018666667,0.97,0,no_physiology,-0.883719014,0,39,40,25,35,,,,,,,,,
Psaltriparus minimus,Psaltriparusminimus,BUSH,Pminimu,Bushtit,bird,-0.15043884,TRUE,20.9972387,46.0084949,5.961488037,-0.027554759,5.945414437,5.382914185,-10.20797681,0.011985664,6,other,1,patchy,3,2,1,R,5.3,3580.3757,5.510399,0.826415401,0.731034144,0.96,0.012944444,0.009611111,0.0058,0.004066667,0.049333333,0.021,0.019666667,0.97,0,no_physiology,-1.136817293,0,39,40,25,35,,,,,,,,,
Regulus calendula,Reguluscalendula,RCKI,Rcalend,Ruby-crowned Kinglet,bird,-0.04579319,FALSE,23.566667,59.82527778,6.365874012,-0.024517736,6.53831534,5.788072692,-12.24562871,-0.018340345,8,A,1,patchy,3,2,1,R,6.6,3652.8754,6.126616,0.799171334,0.681304143,0.96,0.014888889,0.011444444,0.0062,0.00465,0.053666667,0.024333333,0.021666667,0.97,0,no_physiology,-1.230456131,0,39,40,25,35,,,,,,,,,
Salpinctes obsoletus,Salpinctesobsoletus,ROWR,Sobsole,Rock Wren,bird,-0.152945776,TRUE,27.3669232,50.0558162,16.56824713,-0.031666896,16.53578856,15.70162162,-5.1774925,-0.078720079,5.2,A,0,none,2,2,1,R,16.5,4204.9885,16.111408,0.752043101,0.619601957,0.96,0.020555556,0.017,0.005,0.004333333,0.069,0.03,0.027666667,0.97,0,no_physiology,-2.018726674,0,39,40,25,35,,,,,,,,,
Sayornis saya,Sayornissaya,SAPH,Saysaya,Say's Phoebe,bird,-0.19529256,TRUE,22.225556,59.5667,23.24810864,-0.100275142,23.33000004,21.01943786,-10.62945269,-0.008962257,4.5,A,0,none,2,2,1,R,21,4455.949,21.737358,0.673176576,0.606768817,0.96,0.015444444,0.015444444,0.005466667,0.004066667,0.071666667,0.031333333,0.028666667,0.97,0,no_physiology,-1.832013981,0,39,40,25,35,,,,,,,,,
Setophaga nigrescens,Setophaganigrescens,BTYW,Snigres,Black-throated Gray Warbler,bird,-0.217781841,TRUE,20.82044223,46.0084949,8.288167104,0.016142098,8.354753258,8.624252723,3.186783547,-0.096416215,4,A,1,south,3,2,3,N,8.2,3742.1058,8.456786,0.830217085,0.577708477,0.96,0.015444444,0.014333333,0.00555,0.004766667,0.061,0.026666667,0.025,0.97,0,no_physiology,-1.640400851,0,39,40,25,35,,,,,,,,,
Sialia mexicana,Sialiamexicana,WEBL,Smexica,Western Bluebird,bird,-0.19302396,TRUE,28.56806,50.5950412,26.00791085,-0.00817587,26.01220318,25.77434211,-0.916614983,-0.018842512,5,other,0,patchy,3,2,1,R,27.1,4796.1399,25.949944,0.805386052,0.748296812,0.96,0.017777778,0.016333333,0.004766667,0.0045,0.087666667,0.034666667,0.034333333,0.97,0,no_physiology,-4.059516944,0,39,40,25,35,,,,,,,,,
Spinus lawrencei,Spinuslawrencei,LAGO,Spsaltr,Lawrence's Goldfinch,bird,-0.165263556,TRUE,31.4,40.55444,8.961848301,0.074546104,9.670657258,11.30259597,16.06445068,-0.016778875,4.5,other,1,north,2,4,2,T,10.8,3887.1052,10.158696,0.762940987,0.660950067,0.96,0.012444444,0.012222222,0.0044,0.002883333,0.05733333,0.02333333,0.02366667,0.97,0,no_physiology,-1.507892872,0,39,40,25,35,,,,,,,,,
Spinus psaltria,Spinuspsaltria,LEGO,Slawren,Lesser Goldfinch,bird,-0.239,FALSE,23.387557,41.68472,9.445779235,-0.020835907,9.439528463,8.958478272,-5.210438491,-0.150373989,unknown,unknown,,unknown,3,4,1,R,9,3786.721,9.232432,0.749483636,0.673339158,0.96,0.010555556,0.008888889,0.003466667,0.0037,0.058333333,0.022666667,0.024,0.97,0,physiology,-0.642630701,1,41.3,44.5,25,36.17,0.07839,0.031722,-0.06182,0.0030322,39.874,0.096058,4.6538,1: Tb min and max and UCT; Smith et al. 2017,
Spizella atrogularis,Spizellaatrogularis,BCSP,Satrogu,Black-chinned Sparrow,bird,-0.167498108,TRUE,21.2672266,37.41989,11.4925079,-0.011745858,11.42702474,11.24270608,-1.630128802,-0.173799802,3,A,1,patchy,2,3,2,T,11.6,3931.7204,11.307,0.775742706,0.725240231,0.96,0.012555556,0.013333333,0.005733333,0.004866667,0.061,0.026,0.026666667,0.97,0,no_physiology,-1.806106141,0,39,40,25,35,,,,,,,,,
Spizella breweri,Spizellabreweri,BRSP,Sbrewer,Brewer's Sparrow,bird,-0.29910971,TRUE,25.6203535,59.6,10.94914389,-0.013482165,10.99655622,10.60372606,-3.650231725,0.043498201,3.1,A,1,patchy,2,2,2,T,10.9,3892.6821,10.761787,0.830465279,0.628919229,0.96,0.013666667,0.013666667,0.0069,0.0061,0.059666667,0.027,0.027666667,0.97,0,no_physiology,-1.720971296,0,39,40,25,35,,,,,,,,,
Spizella passerina,Spizellapasserina,CHSP,Spasser,Chipping Sparrow,bird,-0.32752459,TRUE,22.432612,59.5667,12.48956954,-0.023967586,12.65814148,11.95191398,-5.795287728,-0.150838892,4,A,1,patchy,3,3,2,T,12.3,3970.7587,12.186237,0.807216724,0.652348717,0.96,0.015666667,0.013222222,0.005916667,0.005283333,0.062333333,0.030333333,0.028333333,0.97,0,no_physiology,-1.995153248,0,39,40,25,35,,,,,,,,,
Sturnella neglecta,Sturnellaneglecta,WEME,Sneglec,Western Meadowlark,bird,-0.195094578,TRUE,26.5234216,52.0849915,106.4480356,-0.271564329,106.7603346,99.24522041,-7.442767807,-0.154260107,4.8,A,0,none,4,2,1,R,97.7,8733.4313,100.972036,0.785223373,0.58011607,0.96,0.027444444,0.020555556,0.0056,0.004433333,0.127333333,0.048333333,0.043666667,0.97,0,no_physiology,-6.824241487,0,39,40,25,35,,,,,,,,,
Tachycineta thalassina,Tachycinetathalassina,VGSW,Tthalis,Violet-green Swallow,bird,-0.31197604,TRUE,23.7421043,59.53666667,15.93055949,-0.088700469,16.36001789,13.8246237,-17.29692516,0.134880566,4.5,other,1,none,3,2,3,N,14.2,4076.7198,14.658063,0.874789116,0.428679813,0.96,0.015222222,0.014111111,0.005666667,0.003833333,0.067666667,0.032,0.028,0.97,0,no_physiology,-2.074841261,0,39,40,25,35,,,,,,,,,
Tyrannus verticalis,Tyrannusverticalis,WEKI,Tvertic,Western Kingbird,bird,-0.355409836,TRUE,29.3082557,49.892865,40.84414148,-0.039871017,40.83218017,39.67559152,-2.911642248,-0.080528305,3.8,other,0,patchy,4,2,3,N,39.6,5493.2524,39.722897,0.696067921,0.448432033,0.96,0.020111111,0.018166667,0.0051,0.0042,0.09,0.038333333,0.038,0.97,0,no_physiology,-2.777960435,0,39,40,25,35,,,,,,,,,
Zenaida asiatica,Zenaidaasiatica,WWDO,Zasiati,White Winged Dove,bird,-0.11804918,FALSE,21.70258441,36.476,149.7204144,-0.227654352,146.8007473,144.7797266,-1.400340221,0.004210805,2,other,0,north,2,4,2,T,153,11817.457,144.323548,0.772339286,0.600829173,0.96,0.025777778,0.024333333,0.006466667,0.0047,0.138333333,0.061666667,0.049666667,0.97,0,physiology,-5.825669436,1,41.6,43.5,25,46.47,0.055827,0.12145,-0.13605,0.0021454,43.509,0.080698,44.464,1: Smith et al. 2015,
Zenaida macroura,Zenaidamacroura,MODO,Zmacrou,Mourning Dove,bird,-0.318905422,TRUE,21.973864,56.58972222,103.2706803,-0.070702777,103.3077993,101.7170671,-1.58390663,0.039290453,2,other,0,none,1,4,1,R,119,9921.311,100.430933,0.74727032,0.554250107,0.96,0.022666667,0.023111111,0.007233333,0.004866667,0.132333333,0.059333333,0.052333333,0.97,0,physiology,-4.104740022,1,41,43.2,29,45.89,0.059878,0.098,0.11147,-0.00056329,38.131,0.080663,30.611,1: Tb min and max and UCT; Smith et al. 2015,
Zonotrichia leucophrys,Zonotrichialeucophrys,WCSP,Zleucop,White-crowned Sparrow,bird,-0.180142497,TRUE,24.12311,59.9495092,27.12189677,-0.047557831,27.52772344,25.97465398,-5.941541741,0.03388203,4,A,1,north,3,3,1,R,28,4846.332,26.139166,0.788073657,0.640951532,0.96,0.018555556,0.019222222,0.00485,0.004166667,0.082333333,0.032666667,0.031333333,0.97,0,no_physiology,-3.117708951,0,39,40,25,35,,,,,,,,,
